Rank,Username,UserID,GrossEarning
1,CriticalRole,229729353,9626712.16
2,xQcOW,71092938,8454427.17
3,summit1g,26490481,5847541.17
4,Tfue,60056333,5295582.44
5,NICKMERCS,15564828,5096642.12
6,ludwig,40934651,3290777.55
7,TimTheTatman,36769016,3290133.32
8,Altoar,29279425,3053839.94
9,auronplay,459331509,3053341.54
10,LIRIK,23161357,2984653.7
11,__unknown__,17337557,2863780.63
12,Gaules,181077473,2844985.18
13,HasanAbi,207813352,2810480.11
14,Asmongold,26261471,2551618.73
15,loltyler1,51496027,2490584.9
16,RanbooLive,489155160,2401021.84
17,MontanaBlack88,45044816,2391369.58
18,ibai,83232866,2314485.53
19,Castro_1021,52091823,2311021.81
20,MOONMOON,121059319,2236043.55
21,TheRealKnossi,71588578,2157258.23
22,moistcr1tikal,132230344,2098742.63
23,Mizkif,94753024,2086548.21
24,CohhCarnage,26610234,2061059.29
25,shroud,37402112,2040503.15
26,AdmiralBahroo,40972890,1985892.39
27,Pestily,106013742,1961086.96
28,Sykkuno,26154978,1916327.43
29,ESL_CSGO,31239503,1903580.27
30,LVNDMARK,427632467,1902807.22
31,DrLupo,29829912,1894615.81
32,AdinRoss,59299632,1854656.42
33,Clix,233300375,1843917.31
34,TeePee,23844396,1786534.47
35,Rubius,39276140,1764965.15
36,PaymoneyWubby,38251312,1756486.29
37,alanzoka,38244180,1731716.65
38,Trainwreckstv,71190292,1572912.37
39,pokimane,44445592,1528303.11
40,tommyinnit,116228390,1513217.7
41,Maximilian_DOOD,30104304,1499562.93
42,GRONKH,12875057,1481291.05
43,sodapoppin,26301881,1461302.14
44,ZeratoR,41719107,1440221.4
45,BobbyPoffGaming,212682921,1415247.01
46,Ninja,19571641,1378791.48
47,Philza,3389768,1364215.61
48,Amouranth,125387632,1363346.32
49,BruceGreene,59250665,1360850.67
50,Odablock,177730578,1354805.74
51,RayNarvaezJr,85875635,1335520.12
52,Symfuhny,31688366,1334485.63
53,dakotaz,39298218,1324198.49
54,ZanoXVII,75830338,1310925.8
55,SypherPK,32140000,1295112.63
56,Trymacs,64342766,1288207.23
57,TheGrefg,48878319,1286765.09
58,Papaplatte,50985620,1286004.35
59,JohnPitterTV,38842801,1215717.01
60,RATIRL,57292293,1214440.08
61,RocketLeague,57781936,1204908.7
62,NoWay4u_Sir,85397463,1188728.95
63,GamesDoneQuick,22510310,1185456.44
64,GernaderJake,1423946,1176353.74
65,fps_shaka,49207184,1173280.3
66,EsfandTV,38746172,1170700.02
67,buddha,136765278,1158170.55
68,Locklear,137347549,1155665.61
69,stylishnoob4,50988750,1147599.76
70,ANGRYPUG,63164470,1146888.15
71,Sintica,35884167,1075977.17
72,Fresh,38594688,1073254.63
73,Quackity,48526626,1065157.18
74,RonnieRadke,463086691,1063989.05
75,Riot,Games,36029255,1052571.76
76,KYR_SP33DY,11001241,1052545.35
77,Gladd,81628627,1045687.54
78,juansguarnizo,121510236,1034709.27
79,Bugha,82524912,1034227.61
80,NickEh30,44424631,1027976.4
81,Tubbo,223191589,1000504.31
82,Pikabooirl,27992608,994116.76
83,RatedEpicz,50237189,987866.88
84,Swagg,39724467,984854.8
85,Shotz,112822444,984477.46
86,CDNThe3rd,14408894,976750.53
87,Tumblurr,77827128,960316.77
88,Aydan,120244187,953042.02
89,ops1x,185619753,947355.14
90,scump,13240194,946332.99
91,BarbarousKing,56865374,933633.48
