ID_streamer,ID_game,minutes
80,826,165
335,826,45
421,826,120
471,826,480
517,826,30
524,826,60
741,826,120
1020,826,60
1083,826,30
1264,826,120
1387,826,180
1388,826,45
1413,826,180
1423,826,75
1469,826,255
1471,826,120
1473,826,90
1620,826,240
1886,826,30
2043,826,105
2454,826,60
2589,826,30
2643,826,90
2743,826,75
2926,826,90
2959,826,120
0,936,45
1,936,90
4,936,645
5,936,840
7,936,810
9,936,6075
15,936,45
16,936,1305
18,936,8640
25,936,1605
40,936,3510
44,936,30
60,936,480
80,936,390
92,936,90
94,936,465
103,936,135
105,936,5820
107,936,1965
108,936,435
110,936,1440
115,936,3825
120,936,120
125,936,225
128,936,675
130,936,150
135,936,2490
145,936,75
151,936,960
155,936,120
160,936,195
167,936,2340
176,936,30
188,936,300
199,936,330
201,936,105
209,936,1635
212,936,45
243,936,4320
247,936,135
255,936,165
267,936,45
270,936,165
272,936,315
273,936,3375
275,936,60
278,936,975
281,936,135
283,936,495
287,936,255
289,936,75
305,936,180
307,936,2955
314,936,90
316,936,2130
320,936,630
324,936,735
343,936,45
388,936,735
398,936,105
400,936,1050
404,936,135
420,936,45
425,936,375
430,936,135
436,936,375
445,936,2850
450,936,510
452,936,90
456,936,780
462,936,120
463,936,60
465,936,495
469,936,795
471,936,2400
478,936,3060
495,936,420
496,936,930
499,936,540
506,936,615
513,936,600
517,936,345
531,936,1170
533,936,120
539,936,150
543,936,60
558,936,150
564,936,180
574,936,1215
581,936,270
592,936,2280
593,936,450
595,936,1110
598,936,30
600,936,1530
602,936,1335
631,936,1275
652,936,90
653,936,975
658,936,345
672,936,4380
673,936,3630
675,936,540
683,936,75
691,936,1440
706,936,135
734,936,975
735,936,165
755,936,735
756,936,1215
762,936,225
768,936,1845
776,936,360
785,936,45
797,936,2025
812,936,60
817,936,105
827,936,285
833,936,60
836,936,105
862,936,240
864,936,45
876,936,210
877,936,75
878,936,960
883,936,480
885,936,2685
886,936,30
889,936,120
892,936,1935
906,936,90
909,936,2265
911,936,495
919,936,1725
921,936,3825
937,936,255
941,936,675
958,936,135
962,936,2430
968,936,30
984,936,330
986,936,1680
989,936,180
991,936,1365
1001,936,2160
1008,936,30
1013,936,90
1024,936,45
