,twitch_name,steam_name,match_score,twitch_clean,steam_clean
1,Alice: Madness Returns,Alice: Madness Returns,100,alice madness returns,
4,Witch It,Witch It,100,witch it,
8,Cyber Hunter,Cyber Hunter,100,cyber hunter,
9,Rogue Lords,Rogue Lords,100,rogue lords,
11,INSIDE,INSIDE,100,inside,
13,V696,V696,100,v696,
15,Stranded Deep,Stranded Deep,100,stranded deep,
16,Legacy of Kain: Defiance,Legacy of Kain: Defiance,100,legacy of kain defiance,
17,Rounds,ROUNDS,100,rounds,rounds
18,Drawful 2,Drawful 2,100,drawful 2,
20,Atomicrops,Atomicrops,100,atomicrops,
21,Slime Rancher,Slime Rancher,100,slime rancher,
23,Dodonpachi Resurrection,DoDonPachi Resurrection,100,dodonpachi resurrection,dodonpachi resurrection
25,Embr,Embr,100,embr,
28,Yomawari: Night Alone,Yomawari: Night Alone,100,yomawari night alone,
29,Hatoful Boyfriend,Hatoful Boyfriend,100,hatoful boyfriend,
37,Pupperazzi,Pupperazzi,100,pupperazzi,
41,Silent Hill: Homecoming,Silent Hill Homecoming,100,silent hill homecoming,silent hill homecoming
45,Five Nights at Freddy's,Five Nights at Freddy's,100,five nights at freddy's,
48,Sherlock Holmes: Chapter One,Sherlock Holmes Chapter One,100,sherlock holmes chapter one,sherlock holmes chapter one
49,Planet Coaster,Planet Coaster,100,planet coaster,
50,The Forest,The Forest,100,the forest,
51,Salt and Sanctuary,Salt and Sanctuary,100,salt and sanctuary,
52,Endless Legend,ENDLESS™ Legend,100,endless legend,endless legend
55,Inscryption,Inscryption,100,inscryption,
59,Loop Hero,Loop Hero,100,loop hero,
61,Elsword,Elsword,100,elsword,
63,Visage,Visage,100,visage,
66,Quiplash 2 InterLASHional,Quiplash 2 InterLASHional,100,quiplash 2 interlashional,
68,My Friend Peppa Pig,My Friend Peppa Pig,100,my friend peppa pig,
71,Hollow Knight,Hollow Knight,100,hollow knight,
72,Epic Fantasy Battle Simulator,Epic Fantasy Battle Simulator,100,epic fantasy battle simulator,
81,Sisters Royale: Five Sisters Under Fire,Sisters Royale: Five Sisters Under Fire,100,sisters royale five sisters under fire,
87,Turnip Boy Commits Tax Evasion,Turnip Boy Commits Tax Evasion,100,turnip boy commits tax evasion,
89,Amnesia: Rebirth,Amnesia: Rebirth,100,amnesia rebirth,
99,What The Dub?!,What The Dub?!,100,what the dub,
102,Stoneshard,Stoneshard,100,stoneshard,
104,Resident Evil 3,Resident Evil 3,100,resident evil 3,
105,Tell Me Why,Tell Me Why,100,tell me why,
109,Metal Slug,METAL SLUG,100,metal slug,metal slug
111,Destroy All Humans!,Destroy All Humans!,100,destroy all humans,
114,Going Medieval,Going Medieval,100,going medieval,
115,Warframe,Warframe,100,warframe,
116,STASIS,STASIS,100,stasis,
119,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,100,counterstrike global offensive,
120,Curse of the Dead Gods,Curse of the Dead Gods,100,curse of the dead gods,
123,Expedition Zero,Expedition Zero,100,expedition zero,
124,Thea 2: The Shattering,Thea 2: The Shattering,100,thea 2 the shattering,
125,Outer Wilds,Outer Wilds,100,outer wilds,
127,Project Nightmares Case 36: Henrietta Kedward,Project Nightmares Case 36: Henrietta Kedward,100,project nightmares case 36 henrietta kedward,
130,Fallout: New Vegas,Fallout: New Vegas,100,fallout new vegas,
134,rFactor 2,rFactor 2,100,rfactor 2,
135,Poppy Playtime,Poppy Playtime,100,poppy playtime,
137,Source of Madness,Source of Madness,100,source of madness,
138,NBA 2K22,NBA 2K22,100,nba 2k22,
141,Call of Duty: Black Ops II,Call of Duty®: Black Ops II,100,call of duty black ops ii,call of duty black ops ii
144,Final Fantasy XII: The Zodiac Age,FINAL FANTASY XII THE ZODIAC AGE,100,final fantasy xii the zodiac age,final fantasy xii the zodiac age
147,Lost in Random,Lost in Random™,100,lost in random,lost in random
150,Later Alligator,Later Alligator,100,later alligator,
156,Paladins,Paladins®,100,paladins,paladins
158,Prey,Prey,100,prey,
159,Kenshi,Kenshi,100,kenshi,
160,Tomb Raider,Tomb Raider,100,tomb raider,
162,BloodRayne 2: Terminal Cut,BloodRayne 2: Terminal Cut,100,bloodrayne 2 terminal cut,
164,SMITE,SMITE®,100,smite,smite
166,Fable Anniversary,Fable Anniversary,100,fable anniversary,
170,Resident Evil 6,Resident Evil 6,100,resident evil 6,
171,Armello,Armello,100,armello,
172,Call of Duty: Modern Warfare 2,Call of Duty®: Modern Warfare® 2,100,call of duty modern warfare 2,call of duty modern warfare 2
174,60 Seconds!,60 Seconds!,100,60 seconds,
175,Metal Slug 2,METAL SLUG 2,100,metal slug 2,metal slug 2
177,Dragon Age: Origins,Dragon Age: Origins,100,dragon age origins,
181,Chaos on Deponia,Chaos on Deponia,100,chaos on deponia,
182,Tricky Towers,Tricky Towers,100,tricky towers,
187,Bakery Simulator,Bakery Simulator,100,bakery simulator,
188,Zwei: The Ilvard Insurrection,Zwei: The Ilvard Insurrection,100,zwei the ilvard insurrection,
202,The Elder Scrolls V: Skyrim Special Edition,The Elder Scrolls V: Skyrim Special Edition,100,the elder scrolls v skyrim special edition,
205,"Haiku, the Robot","Haiku, the Robot",100,haiku the robot,
206,Batman: Arkham City,Batman: Arkham City,100,batman arkham city,
208,Rakuen,Rakuen,100,rakuen,
209,Lydia,Lydia,100,lydia,
211,Mortal Shell,Mortal Shell,100,mortal shell,
223,Sakura Succubus 4,Sakura Succubus 4,100,sakura succubus 4,
225,iRacing,iRacing,100,iracing,
227,Stick Fight: The Game,Stick Fight: The Game,100,stick fight the game,
229,Choice Chamber,Choice Chamber,100,choice chamber,
