ID_streamer_i,ID_streamer_j,overlap_percentage
0,1,2.4
0,3,1.8
0,4,3.9
0,5,2.5
0,7,1.8
0,8,1.1
0,9,3.6
0,10,1.0
0,16,3.2
0,17,3.5
0,18,5.9
0,19,6.3
0,20,2.7
0,24,2.5
0,25,2.6
0,26,2.8
0,28,5.5
0,34,1.3
0,40,1.9
0,41,3.4
0,42,2.1
0,44,2.1
0,51,1.0
0,55,5.4
0,58,1.2
0,59,1.1
0,60,1.4
0,62,1.2
0,67,1.4
0,74,2.3
0,77,2.5
0,80,1.9
0,81,1.1
0,88,9.8
0,93,1.2
0,95,15.0
0,99,3.1
0,101,3.8
0,105,3.9
0,107,7.2
0,108,2.9
0,109,1.7
0,112,4.1
0,113,1.3
0,115,2.4
0,117,3.9
0,122,9.7
0,124,1.5
0,125,1.8
0,126,1.0
0,128,1.1
0,129,13.1
0,131,1.3
0,133,2.0
0,141,18.1
0,142,1.1
0,143,2.3
0,144,2.2
0,145,8.1
0,151,8.7
0,155,1.0
0,158,1.0
0,159,1.7
0,160,1.1
0,164,1.3
0,167,2.3
0,173,1.5
0,174,1.5
0,176,10.2
0,179,2.0
0,182,14.0
0,188,2.2
0,191,3.0
0,192,5.0
0,195,6.1
0,198,1.3
0,199,2.0
0,203,1.3
0,205,1.0
0,207,1.6
0,209,4.0
0,210,1.8
0,212,2.7
0,214,5.9
0,215,3.9
0,218,2.9
0,219,1.0
0,221,2.8
0,222,1.6
0,225,25.3
0,227,2.0
0,236,1.6
0,240,1.8
0,243,2.6
0,245,1.6
0,246,1.0
0,247,7.3
0,248,3.8
0,254,2.9
0,255,2.5
0,257,3.5
0,261,2.2
0,262,1.2
0,267,1.6
0,271,3.2
0,273,2.2
0,275,2.3
0,276,2.0
0,277,2.7
0,278,2.7
0,279,3.4
0,283,3.4
0,285,1.3
0,287,1.6
0,288,3.4
0,289,2.0
0,292,1.0
0,299,1.5
0,305,1.0
0,307,10.3
0,308,5.7
0,314,29.8
0,316,4.0
0,317,6.2
0,318,1.3
0,320,8.2
0,322,3.2
0,323,1.5
0,324,1.8
0,327,46.0
0,331,3.9
0,333,2.1
0,335,12.6
0,340,1.6
0,341,1.8
0,343,17.5
0,351,3.1
0,352,1.6
0,353,1.2
0,355,3.7
0,358,2.7
0,363,7.5
0,364,1.2
0,368,19.5
0,369,1.1
0,371,5.1
0,375,2.0
0,376,2.0
0,382,12.1
0,384,10.9
0,393,5.2
0,400,1.8
0,401,1.1
0,402,3.2
