Id,Label,viewer_mean
0,LyonWGFLive,14011
1,Tumblurr,13683
2,ChristianVieriOfficial,11014
3,GrenBaud,10285
4,ZanoXVII,7681
5,TheRealMarzaa,5825
6,DarioMocciaTwitch,4946
7,Freneh,4366
8,ilGabbrone,3688
9,pizfn,3480
10,Moonryde,3259
11,Cerbero_Podcast,3131
12,Homyatol,3060
13,Yotobi,2986
14,Brizz94,2912
15,Enkk,2795
16,POW3Rtv,2622
17,Canale_Zero,2487
18,Xiuder_,2247
19,andreadel1988,2173
20,ilMasseo,2153
21,ocwsport,2097
22,OldGenProject,1991
23,ilpengwin,1983
24,Skuolanet,1923
25,AyarBaffo,1843
26,FiusGamer,1840
27,double_face_twich,1773
28,MikeShowSha,1758
29,lucasalvadori,1752
30,claudiodibiagio,1737
31,Paoloidolo,1726
32,FuniverseOfficial,1697
33,velox,1636
34,ZonaRossaTV,1610
35,TheCryptoGateway,1607
36,Sabaku_no_Sutoriimaa,1520
37,Cydonia_Chiara,1447
38,SOSFantaLive,1399
39,AdrianFartade,1395
40,NeZaK_,1363
41,samaratramontana,1304
42,SpaceValley,1303
43,Justees,1288
44,MatteoHS,1236
45,savyultras90,1222
46,Ivan_Grieco,1220
47,Juventibus,1215
48,HOLLYWOOD285,1191
49,VivaLaFazza,1173
50,Bugalalla,1140
51,AmazonMusicIT,1113
52,PG_Esports_LoL,1086
53,voghelita,1065
54,Yoshi93,1061
55,Fierik,1024
56,NanniTwitch,1000
57,MarcoMerrino,999
58,chiaraasmrreal,999
59,hmattTV,988
60,JustGaBBo,963
61,Multiplayerit,936
62,imviolet_,933
63,panetty,932
64,ItalianRocketChampionship,931
65,breakingitaly,926
66,Terenas,923
67,GaiaClerici,900
68,RoundTwoTwitch,886
69,Poly,872
70,mira,871
71,tudorinho,870
72,devil_is_back_,865
73,CCrizzi,837
74,CapitanoCima,830
75,GamesurfTV,823
76,Dada,816
77,S7ORMyTv,815
78,fabriziocerrone,809
79,Everyeyeit,809
80,gskianto,809
81,MichellePuttini,800
82,RedBullIT,793
83,Kyrenis,715
84,ilGattoSulTubo,679
85,ila_mos,676
86,fragolaqt,673
87,JezuzJrr,666
88,Poldo,666
89,mady_gio,651
90,AJGtv,646
91,WesaTwitch,644
92,AmalaTV,635
93,Nefastone,621
94,Volpescu,614
95,RichardHTT_Fraffrog,606
96,Kurolily,603
97,GliAutogol,592
98,ACMilan,585
99,Kertus,585
100,Lucillajiggly,584
101,giankoextreme,575
102,profreggio,569
103,iTermosifoni,566
104,Fantacalcio,565
105,Efesto96,562
106,Casino_Squad,557
107,Jiozi,556
108,NinjoTv,547
109,ManuuXO,547
110,Delux,539
111,TylerStrikes,534
112,CoopTv,523
113,albertonaska,514
114,TIZtw,509
115,Rekinss,505
116,InnTale,501
117,Chrinjottv,499
118,francescopardinivgc,495
119,BerriTV,495
120,mrpette,483
121,slimdogsproduction,482
122,TearlessRaptor,479
123,teladoiotokyo,479
124,GiuliaPaglianiti,476
125,NairamOfficial,470
126,Rainbow6IT,465
127,RetireInProgress,465
128,JTaz_,464
129,Zblito,460
130,diegonaska,454
131,Siormax,447
132,PlayerInsideTV,446
133,DavidRubino,442
134,eddybeef,440
